item_name,pic,class_1,class_2,class_3,price,spec,made_in,unit,url
華陀冬蟲夏草菌絲體雞精70gX12罐,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200195472_1_339378.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,349,,台灣,1/組,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200195472
華陀冬蟲夏草雞精禮盒 70gx9罐,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200214497_1_387994.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,379,,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200214497
泰國魷魚標魚露,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200109892_1_175316.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,9,60ml/瓶,泰國,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200109892
華陀冬蟲夏草菌絲體雞精,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200153888_1_280791.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,486,70gx18瓶/盒,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200153888
法國JEAN MARTIN傳統青醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200216323_1_392317.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,110,100g/瓶,法國,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200216323
法國JEAN MARTIN傳統甜椒醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200209877_1_367253.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,110,110g/瓶,法國,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200209877
Auchan紅酒醋,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213849_1_385271.jpg,食品雜貨,調味一系列,醋‧香料,85,500ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213849
Costa d'Oro頂級橄欖油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072394_1_113514.jpg,食品雜貨,食用油,沙拉油‧其他,549,3L/桶,義大利,1/桶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072394
義大利Varvello低酸黑葡萄醋醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213939_1_385316.jpg,食品雜貨,調味一系列,醋‧香料,99,295公克/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213939
義大利Varvello摩德納黑葡萄醋醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213924_1_385313.jpg,食品雜貨,調味一系列,醋‧香料,99,295公克/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213924
義大利Rummo15號長型寬扁麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200073108_1_112513.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,59,500g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200073108
Auchan義大利細長通心麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128875_1_210267.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,119,500g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128875
Auchan義大利醃漬甜椒 300g,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072982_1_112870.jpg,進口商品,義大利,罐頭,69,300GR/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072982
Auchan義大利羅勒青醬(無大蒜),http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072933_1_112745.jpg,進口商品,義大利,調味料．醋,119,180GR/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072933
Auchan義大利青醬大蒜,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072926_1_112729.jpg,進口商品,義大利,調味料．醋,79,190g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072926
Auchan義大利韃靼香料沾醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072905_1_113283.jpg,進口商品,義大利,調味料．醋,69,240g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072905
Costa d'Oro冷壓初榨橄欖油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200106185_1_168920.jpg,食品雜貨,食用油,橄欖油‧葵花油,759,5L/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200106185
Auchan義大利巴薩米克酒醋,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072723_1_113315.jpg,進口商品,義大利,調味料．醋,79,500ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072723
Auchan義大利紅酒醋,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072716_1_113307.jpg,進口商品,義大利,調味料．醋,65,500ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072716
De CeccoN.75星星造型麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128308_1_209140.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,89,250g,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128308
義大利De CeccoN.93三色蝴蝶麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128210_1_209126.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,115,500g,義大利,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128210
義大利De CeccoN.41三色斜管麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128203_1_209125.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,109,500g,義大利,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128203
義大利De CeccoN34三色螺旋麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200128196_1_209124.jpg,食品雜貨,麵條‧米粉‧冬粉,義大利麵,109,500g,義大利,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200128196
義大利DE CECCO羅勒青醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072485_1_112814.jpg,進口商品,義大利,調味料．醋,89,200g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072485
義大利DE CECCO特級初榨橄欖油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072471_1_113522.jpg,食品雜貨,食用油,沙拉油‧其他,229,1L/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072471
義大利Il Pantaro巴薩米克醋噴霧,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213899_1_385286.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,119,250ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213899
義大利Cascina Palazzo巴薩米克酒,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213884_1_385283.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,129,500ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213884
義大利Cannamella研磨黑胡椒碘鹽,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213859_1_385278.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,79,35g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213859
義大利Cannamella加碘研磨海鹽,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200214151_1_386732.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,59,63g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200214151
IL GREZZO頂級橄欖油未過濾,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200032368_1_7600.jpg,食品雜貨,食用油,沙拉油‧其他,239,750ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200032368
義大利CIRIO特級初榨橄欖油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213854_1_385272.jpg,食品雜貨,食用油,橄欖油‧葵花油,259,1000ml/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213854
Auchan義大利風乾番茄 280g,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072464_1_113291.jpg,進口商品,義大利,罐頭,169,280GR/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072464
Auchan義大利番茄泥(去籽),http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072443_1_112681.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,49,700g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072443
Auchan 義大利波莫朵里尼櫻桃蕃茄,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200072422_1_112697.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,39,400g/罐,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200072422
Auchan 義大利橄欖番茄醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200028900_1_1476.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,79,420g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200028900
Polli番茄羅勒西西里風味,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200209872_1_367251.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,79,190g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200209872
Costa d'Oro葡萄籽油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200028840_1_1370.jpg,食品雜貨,食用油,沙拉油‧其他,199,1L/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200028840
可果美一番咖哩醬(南洋),http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200205510_1_349360.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,84,460g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200205510
可果美一番咖哩醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200205505_1_349359.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,84,460g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200205505
紐西蘭日曬天然海鹽,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200033820_1_11200.jpg,食品雜貨,調味一系列,醋‧香料,61,300g/罐,紐西蘭,1/罐,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200033820
三好正斗米,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200090780_1_139531.jpg,食品雜貨,米‧麵粉,"米,香米,壽司米",299,6.9kg/包 CNS三等米,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200090780
正逢在家吃麵北京拉麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200034996_1_14346.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,25,300g/包,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200034996
台糖大豆沙拉油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200033772_1_11054.jpg,食品雜貨,食用油,沙拉油‧其他,135,3L/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200033772
白蘭氏養蔘飲 60mlx12瓶裝,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200223813_1_412657.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,659,,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200223813
義大利BERTOLLI特級初榨橄欖油-清新,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213804_1_385260.jpg,食品雜貨,食用油,橄欖油‧葵花油,289,1L/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213804
義大利BERTOLLI特級初榨橄欖油-濃郁,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213799_1_385259.jpg,食品雜貨,食用油,橄欖油‧葵花油,289,1L/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213799
義大利BERTOLLI特級初榨橄欖油-細緻,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213794_1_385258.jpg,食品雜貨,食用油,橄欖油‧葵花油,289,1L/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213794
桂格高麗人蔘滋補液,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200223993_1_412693.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,819,60ml\*18入,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200223993
Dan-D-Pak 薄鹽腰果 1kg,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200039106_1_24313.jpg,零食,愛不釋手零嘴,堅果類零食,529,DDPK 015140,越南,1/桶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200039106
皇家榖堡胚芽糙米,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200062368_1_81733.jpg,食品雜貨,米‧麵粉,"五穀米,胚芽米",129,2.5kg/包 二等米,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200062368
天地合補含鐵四物飲24入贈化妝箱,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208334_1_357118.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,1110,120ml\*24瓶,台灣,1/箱,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208334
FP經濟包油麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200053428_1_60015.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,79,2kg,,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200053428
FP經濟包營養麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200053386_1_59937.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,79,2kg,,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200053386
FP經濟包雞蛋麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200053380_1_59923.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,79,2kg,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200053380
萬家香純佳釀醬油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200210136_1_367687.jpg,食品雜貨,調味一系列,醬油‧油膏‧魚露,89,450ml/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200210136
萬家香純佳釀香菇素蠔油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200210141_1_367688.jpg,食品雜貨,調味一系列,醬油‧油膏‧魚露,86,510g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200210141
小磨坊黑胡椒粉 ( 純素),http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200214004_1_385277.jpg,食品雜貨,調味一系列,鹽‧味精‧胡椒‧湯塊,178,200g/包,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200214004
福壽100%純葵花油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200212840_1_378511.jpg,食品雜貨,食用油,橄欖油‧葵花油,149,2L/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200212840
大同壺底白醬油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208264_1_357104.jpg,食品雜貨,調味一系列,醬油‧油膏‧魚露,210,400ml/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208264
維義100%堅果金鑽,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200210131_1_367686.jpg,食品雜貨,食用油,沙拉油‧其他,299,750ml/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200210131
巧珍壺底蔭油膏,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208259_1_357103.jpg,食品雜貨,調味一系列,醬油‧油膏‧魚露,69,420g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208259
牛頭牌咖哩炒醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200205720_1_350674.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,169,737g/罐,台灣,1/罐,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200205720
鋅順暢錠,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208079_1_357067.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,369,60粒/瓶,美國,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208079
維生素B群錠,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208169_1_357085.jpg,食品雜貨,保健食品,維他命‧營養保健品,196,90粒/罐,台灣,1/罐,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208169
亞培葡勝納SR粉禮盒  罐,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200214502_1_387995.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,2058,850g x2,,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200214502
葡萄王健常8益菌,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208959_1_357243.jpg,食品雜貨,保健食品,雞精‧蜆精‧機能營養補給,479,80粒,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208959
超賀栗子 300G,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200193947_1_337220.jpg,食品雜貨,南北雜貨,香菇.木耳.香辛料滷包,299,淨重300G,義大利,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200193947
桂格機能燕麥麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208579_1_357167.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,215,75G\*10入/盒,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208579
桂格每日所需高鈣麵,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200214024_1_385290.jpg,食品雜貨,麵條‧米粉‧冬粉,一般麵條,235,75G\*10入/盒,台灣,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200214024
泰山健康好理由不飽和純葵花油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200193862_1_337203.jpg,食品雜貨,食用油,橄欖油‧葵花油,359,5L/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200193862
蜜蜂工坊-雅致原蜜,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200195147_1_339344.jpg,食品雜貨,調味一系列,糖‧蜂蜜‧果糖,339,700g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200195147
中興穀堡食補糙米,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200223858_1_412666.jpg,食品雜貨,米‧麵粉,"五穀米,胚芽米",135,2.5kg/包 CNS二等米,台灣,1/包,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200223858
福壽100%芝麻油,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200223848_1_412664.jpg,食品雜貨,調味一系列,香油‧芝麻油,159,520ml/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200223848
蜜蜂工坊-醇香花蜜,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208329_1_357117.jpg,食品雜貨,調味一系列,糖‧蜂蜜‧果糖,339,700g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208329
蜜蜂工坊-濃郁果蜜,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200208324_1_357116.jpg,食品雜貨,調味一系列,糖‧蜂蜜‧果糖,339,700g/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200208324
健康廚房焙煎芝麻沾拌淋醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200195157_1_339346.jpg,食品雜貨,調味一系列,沙茶醬‧咖哩‧沾醬,77,200ml/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200195157
健康廚房和風柚子沾拌淋醬,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200195162_1_339347.jpg,食品雜貨,調味一系列,沙茶醬‧咖哩‧沾醬,77,200ml/瓶,台灣,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200195162
AJI-NO-MOTOPLUS高鮮味精 1kg,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200195152_1_339345.jpg,食品雜貨,調味一系列,鹽‧味精‧胡椒‧湯塊,250,1kg / 盒,越南,1/盒,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200195152
義大利Cannamella研磨黑胡椒碘鹽,http://www.rt-mart.com.tw/website/uploads_product/website_2/P0000200213869_1_385280.jpg,食品雜貨,調味一系列,拌麵醬‧義大利麵醬,79,28g/瓶,義大利,1/瓶,http://www.rt-mart.com.tw/direct/index.php?action=product_detail&prod_no=P0000200213869
